WordLabel,SyllLabel,PrimaryStress,SecondaryStress,SyllCV
shopping:,1_2,1,0,CV
shopping:,2_2,1,0,CVC
by:,1_1,1,0,CVV
use,1_1,1,0,CVC
car,1_1,1,0,CVC
go?,1_1,NA,NA,NA
go,1_1,1,0,CVV
center,1_2,1,0,CVC
center,2_2,1,0,CVC
by,1_1,1,0,CVV
using,1_2,1,0,CV
using,2_2,1,0,CVC
buy:,1_1,1,0,CVV
but:,1_1,1,0,CVC
there're a,1_1,NA,NA,NA
thing:,1_1,1,0,CVC
many:,1_2,1,0,CV
many:,2_2,1,0,CV
doesn't,1_2,1,0,CV
doesn't,2_2,1,0,CVCC
food:,1_1,1,0,CVC
bought,1_1,1,0,CVC
foods,1_1,1,0,CVC
today,1_2,2,0,CV
today,2_2,2,0,CVV
liked,1_1,1,0,CVVCC
enjoy:,1_2,2,1,VC
enjoy:,2_2,2,1,CVV
inline,1_2,NA,NA,NA
inline,2_2,NA,NA,NA
skate,1_1,1,0,CCVVC
enrolled,1_2,2,0,VC
enrolled,2_2,2,0,CVCC
club,1_1,1,0,CCVC
company,1_3,1,3,CVC
company,2_3,1,3,CV
company,3_3,1,3,CV
learneded,1_3,NA,NA,NA
learneded,2_3,NA,NA,NA
learneded,3_3,NA,NA,NA
coworker,1_3,12,0,CV
coworker,2_3,12,0,CVC
coworker,3_3,12,0,CVC
became,1_2,2,0,CV
became,2_2,2,0,CVVC
closely,1_2,1,0,CCVC
closely,2_2,1,0,CV
enjoyed,1_2,2,1,VC
enjoyed,2_2,2,1,CVVC
Han,1_1,1,0,CVC
river,1_2,1,0,CV
river,2_2,1,0,CVC
park,1_1,1,0,CVCC
nearby,1_2,12,0,CVVC
nearby,2_2,12,0,CVV
across,1_2,2,0,V
across,2_2,2,0,CCVC
Seoul,1_2,12,0,CV
Seoul,2_2,12,0,VC
made,1_1,1,0,CVVC
excited,1_3,2,0,CV
excited,2_3,2,0,CVV
excited,3_3,2,0,CVC
only,1_2,1,0,VC
only,2_2,1,0,CV
the:,1_1,1,0,CV
member,1_2,1,0,CVC
member,2_2,1,0,CVC
enjoyeded,1_3,NA,NA,NA
enjoyeded,2_3,NA,NA,NA
*,2_3,NA,NA,NA
together,1_3,2,0,CV
together,2_3,2,0,CV
together,3_3,2,0,CVC
members,1_2,1,0,CVC
